task_type,machine_type,machine_fuel_used,engine_hours,curr_load_cycles,idling_time,environmental_conditions,operator_level,actual_time_taken
Excavation,Excavator,14.2,1200,35,50,Sunny,1,65
Loading,Loader,10.5,900,28,30,Cloudy,2,48
Hauling,Dump Truck,18.0,2000,40,60,Rainy,3,70
Site Grading,Grader,12.0,1500,25,20,Sunny,2,55
Material Handling,Excavator,13.5,1100,30,35,Dusty,1,60
Maintenance,Loader,9.0,800,10,15,Sunny,3,35
Inspection,Grader,8.5,700,5,10,Cloudy,2,30
Fueling,Dump Truck,20.0,2100,0,5,Sunny,1,20
Operator Training,Excavator,15.0,1300,20,40,Windy,1,80
Excavation,Excavator,13.0,1250,32,45,Rainy,2,68
Loading,Loader,11.2,950,29,28,Sunny,3,45
Hauling,Dump Truck,17.5,1950,38,55,Cloudy,2,65
Site Grading,Grader,12.8,1550,27,22,Dusty,1,58
Material Handling,Excavator,14.0,1150,31,33,Sunny,2,62
Maintenance,Loader,9.5,850,12,18,Rainy,3,38
Inspection,Grader,8.0,720,6,12,Sunny,1,28
Fueling,Dump Truck,19.5,2050,0,6,Cloudy,2,22
Operator Training,Excavator,16.0,1350,22,42,Sunny,1,85
