task_type,machine_type,machine_fuel_used,engine_hours,curr_load_cycles,idling_time,environmental_conditions,operator_level,actual_time_taken
Loading,Backhoe,13.6,1273,12,49,Rainy,2,56
Excavation,Backhoe,15.9,1925,31,48,Windy,3,68
Excavation,Bulldozer,17.6,1239,16,39,Sunny,1,58
Loading,Loader,17.8,2134,9,32,Rainy,3,57
Loading,Backhoe,21.9,1416,9,30,Sunny,3,41
Backhoeing,Excavator,17.2,844,12,46,Cloudy,1,76
Bulldozing,Backhoe,8.3,884,27,25,Cloudy,2,63
Bulldozing,Excavator,9.8,1856,9,56,Cloudy,1,81
Bulldozing,Backhoe,19.3,1790,26,20,Cloudy,3,60
Loading,Loader,21.1,1351,6,44,Dusty,1,62
Bulldozing,Backhoe,21.7,2191,30,11,Dusty,3,70
Loading,Backhoe,18.5,1503,33,58,Rainy,3,69
Loading,Loader,19.2,1551,13,33,Rainy,2,59
Backhoeing,Excavator,14.8,2165,36,20,Sunny,3,73
Excavation,Excavator,10.3,2127,36,45,Rainy,1,86
Excavation,Bulldozer,14.4,1822,0,22,Cloudy,3,42
Excavation,Bulldozer,10.1,1249,31,42,Rainy,2,64
Loading,Bulldozer,14.6,743,2,55,Cloudy,2,45
Bulldozing,Backhoe,14.1,2014,14,47,Dusty,3,73
Excavation,Excavator,12.5,1082,24,43,Cloudy,2,56
Excavation,Bulldozer,14.8,951,20,30,Rainy,3,47
Bulldozing,Bulldozer,18.7,710,39,43,Windy,2,78
Loading,Excavator,16.4,1712,18,31,Windy,3,53
Backhoeing,Loader,14.8,1648,27,28,Rainy,1,87
Excavation,Loader,11.9,1085,13,46,Cloudy,2,53
Loading,Bulldozer,8.7,1157,23,34,Windy,1,71
Loading,Loader,14.5,1327,32,19,Sunny,2,55
Excavation,Excavator,21.8,1105,8,18,Rainy,1,52
Backhoeing,Excavator,10.4,1115,1,51,Rainy,1,80
Backhoeing,Excavator,21.5,982,42,24,Cloudy,1,87
Loading,Loader,18.2,1890,37,16,Rainy,3,66
Backhoeing,Bulldozer,14.3,1355,38,33,Cloudy,1,85
Bulldozing,Backhoe,12.3,1793,29,29,Rainy,2,76
Backhoeing,Excavator,10.9,707,6,13,Cloudy,3,44
Bulldozing,Bulldozer,17.5,1547,0,43,Cloudy,2,55
Loading,Bulldozer,17.6,899,14,40,Windy,1,67
Loading,Bulldozer,17.4,1530,16,16,Dusty,1,66
Loading,Backhoe,14.6,1854,25,27,Windy,1,70
Bulldozing,Bulldozer,21.8,2108,28,22,Windy,2,77
Backhoeing,Excavator,21.8,1030,30,48,Dusty,3,71
Excavation,Bulldozer,11.2,1922,0,24,Cloudy,3,37
Excavation,Loader,8.4,1379,12,7,Dusty,3,38
Excavation,Loader,21.5,1705,2,37,Windy,3,51
Loading,Loader,12.2,945,6,41,Rainy,1,62
Bulldozing,Excavator,20.7,1041,25,59,Dusty,1,90
Bulldozing,Excavator,15.6,1595,24,56,Windy,3,76
Backhoeing,Backhoe,8.3,1109,0,23,Dusty,2,54
Excavation,Loader,10.6,2036,44,4,Sunny,1,73
Loading,Excavator,12.8,2112,3,31,Cloudy,2,55
Excavation,Excavator,10.5,955,10,7,Rainy,1,52
Loading,Loader,8.8,1238,12,11,Windy,3,43
Loading,Loader,9.8,1888,44,4,Dusty,3,66
Bulldozing,Bulldozer,9.2,1946,43,20,Windy,1,92
Bulldozing,Bulldozer,14.0,704,19,10,Windy,1,62
Backhoeing,Excavator,17.6,1680,16,51,Cloudy,2,75
Loading,Bulldozer,12.5,1001,18,31,Rainy,1,66
Bulldozing,Backhoe,9.1,2133,8,11,Sunny,2,61
Excavation,Excavator,19.2,1977,43,37,Dusty,3,72
Loading,Loader,21.2,1755,26,14,Rainy,2,60
Loading,Excavator,9.2,1621,13,59,Windy,1,81
Bulldozing,Loader,20.4,1578,24,41,Rainy,1,88
Backhoeing,Loader,9.0,1527,18,28,Rainy,1,80
Excavation,Excavator,18.9,1739,40,47,Rainy,1,84
Loading,Loader,14.2,1504,26,11,Sunny,1,65
Loading,Backhoe,8.1,1802,32,31,Dusty,2,73
Excavation,Backhoe,17.6,842,1,53,Dusty,3,42
Backhoeing,Bulldozer,21.3,1916,1,26,Rainy,3,62
Backhoeing,Loader,18.1,1092,7,37,Windy,3,64
Bulldozing,Bulldozer,10.9,1564,3,20,Windy,3,50
Excavation,Bulldozer,15.3,2060,20,56,Cloudy,2,69
Loading,Backhoe,21.3,1359,28,25,Dusty,3,53
Excavation,Bulldozer,16.3,1376,28,10,Rainy,3,54
Excavation,Loader,10.2,1034,6,32,Sunny,1,56
Backhoeing,Bulldozer,9.4,2144,41,33,Rainy,1,98
Loading,Bulldozer,15.1,2087,16,45,Windy,2,72
Backhoeing,Excavator,12.1,1345,38,27,Dusty,1,94
Backhoeing,Backhoe,13.3,1672,40,29,Sunny,3,74
Bulldozing,Bulldozer,15.1,1670,30,6,Dusty,2,65
Backhoeing,Bulldozer,11.9,743,45,57,Cloudy,2,86
Backhoeing,Loader,18.2,804,4,53,Dusty,3,65
Bulldozing,Excavator,15.4,1702,6,24,Dusty,3,55
Loading,Bulldozer,14.6,2015,1,34,Sunny,2,56
Backhoeing,Bulldozer,10.2,1676,24,6,Sunny,3,60
Bulldozing,Loader,13.7,941,3,59,Cloudy,1,66
Excavation,Excavator,8.6,1844,13,23,Cloudy,3,43
Backhoeing,Backhoe,18.3,1022,20,5,Cloudy,3,52
Backhoeing,Loader,15.1,1948,30,20,Dusty,3,76
Backhoeing,Loader,12.0,1991,25,12,Dusty,3,70
Bulldozing,Loader,21.4,2071,4,20,Cloudy,3,53
Excavation,Bulldozer,18.8,2134,11,60,Cloudy,1,79
Excavation,Excavator,11.1,1535,2,38,Sunny,2,53
Bulldozing,Loader,11.5,1795,33,29,Rainy,2,75
Bulldozing,Backhoe,19.0,1166,15,30,Dusty,1,71
Bulldozing,Backhoe,14.9,2064,8,37,Dusty,2,67
